step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time
2650,0,0.0,0,12,571.0,47.583333333333336
2655,1,4.0,4.0,15,631.0,42.06666666666667
2660,0,0.0,0,12,640.0,53.333333333333336
2665,3,6.0,2.0,15,694.0,46.266666666666666
2670,0,0.0,0,13,751.0,57.76923076923077
2675,1,1.0,1.0,14,816.0,58.285714285714285
2680,2,4.0,2.0,8,127.0,15.875
2685,3,14.0,4.666666666666667,16,158.0,9.875
2690,1,14.0,14.0,7,193.0,27.571428571428573
2695,1,19.0,19.0,11,230.0,20.90909090909091
2700,0,0.0,0,12,277.0,23.083333333333332
2705,3,7.0,2.3333333333333335,13,331.0,25.46153846153846
2710,2,10.0,5.0,11,254.0,23.09090909090909
2715,3,20.0,6.666666666666667,14,310.0,22.142857142857142
2720,1,18.0,18.0,9,227.0,25.22222222222222
2725,3,6.0,2.0,14,267.0,19.071428571428573
2730,1,5.0,5.0,9,310.0,34.44444444444444
2735,1,10.0,10.0,11,355.0,32.27272727272727
2740,2,17.0,8.5,5,173.0,34.6
2745,4,28.0,7.0,10,198.0,19.8
2750,1,6.0,6.0,7,224.0,32.0
2755,2,5.0,2.5,11,226.0,20.545454545454547
2760,0,0.0,0,11,260.0,23.636363636363637
2765,1,0.0,0.0,10,310.0,31.0
2770,0,0.0,0,12,360.0,30.0
2775,0,0.0,0,8,295.0,36.875
2780,1,2.0,2.0,13,330.0,25.384615384615383
2785,2,7.0,3.5,8,365.0,45.625
2790,2,14.0,7.0,10,403.0,40.3
2795,0,0.0,0,10,388.0,38.8
2800,0,0.0,0,12,433.0,36.083333333333336
2805,3,5.0,1.6666666666666667,14,484.0,34.57142857142857
2810,0,0.0,0,13,528.0,40.61538461538461
2815,1,5.0,5.0,16,588.0,36.75
2820,0,0.0,0,16,652.0,40.75
2825,1,0.0,0.0,19,732.0,38.526315789473685
2830,0,0.0,0,22,822.0,37.36363636363637
2835,1,0.0,0.0,20,897.0,44.85
2840,1,4.0,4.0,23,997.0,43.34782608695652
2845,1,0.0,0.0,18,1028.0,57.111111111111114
2850,0,0.0,0,21,1113.0,53.0
2855,0,0.0,0,20,1199.0,59.95
2860,1,1.0,1.0,22,1297.0,58.95454545454545
2865,3,8.0,2.6666666666666665,24,1405.0,58.541666666666664
2870,1,7.0,7.0,22,1508.0,68.54545454545455
2875,1,2.0,2.0,24,1620.0,67.5
2880,1,7.0,7.0,25,1741.0,69.64
2885,3,16.0,5.333333333333333,26,1867.0,71.8076923076923
2890,2,17.0,8.5,26,1992.0,76.61538461538461
2895,0,0.0,0,14,910.0,65.0
2900,1,3.0,3.0,25,981.0,39.24
2905,2,3.0,1.5,16,1050.0,65.625
2910,0,0.0,0,13,884.0,68.0
2915,1,1.0,1.0,17,944.0,55.529411764705884
2920,0,0.0,0,14,1008.0,72.0
2925,2,1.0,0.5,15,1064.0,70.93333333333334
2930,0,0.0,0,15,1128.0,75.2
2935,1,1.0,1.0,17,1197.0,70.41176470588235
2940,0,0.0,0,16,1277.0,79.8125
2945,3,6.0,2.0,17,1357.0,79.82352941176471
2950,3,17.0,5.666666666666667,17,1442.0,84.82352941176471
2955,2,8.0,4.0,11,446.0,40.54545454545455
2960,1,2.0,2.0,19,501.0,26.36842105263158
2965,1,0.0,0.0,14,563.0,40.214285714285715
2970,0,0.0,0,15,602.0,40.13333333333333
2975,0,0.0,0,18,666.0,37.0
2980,1,4.0,4.0,17,742.0,43.64705882352941
2985,3,6.0,2.0,17,793.0,46.64705882352941
2990,3,18.0,6.0,17,810.0,47.64705882352941
2995,0,0.0,0,10,490.0,49.0
3000,0,0.0,0,16,530.0,33.125
3005,2,4.0,2.0,10,574.0,57.4
3010,2,12.0,6.0,13,624.0,48.0
3015,1,2.0,2.0,4,14.0,3.5
3020,1,7.0,7.0,13,25.0,1.9230769230769231
3025,2,12.0,6.0,4,35.0,8.75
3030,1,2.0,2.0,5,45.0,9.0
3035,0,0.0,0,4,28.0,7.0
3040,0,0.0,0,7,40.0,5.714285714285714
3045,1,0.0,0.0,5,61.0,12.2
3050,0,0.0,0,5,86.0,17.2
3055,0,0.0,0,7,112.0,16.0
3060,0,0.0,0,7,138.0,19.714285714285715
3065,2,2.0,1.0,3,95.0,31.666666666666668
3070,1,4.0,4.0,5,110.0,22.0
3075,1,9.0,9.0,8,131.0,16.375
3080,1,14.0,14.0,6,151.0,25.166666666666668
3085,2,3.0,1.5,5,23.0,4.6
3090,0,0.0,0,8,41.0,5.125
3095,1,2.0,2.0,10,65.0,6.5
3100,0,0.0,0,4,51.0,12.75
3105,2,4.0,2.0,10,63.0,6.3
3110,1,9.0,9.0,6,45.0,7.5
3115,1,3.0,3.0,9,67.0,7.444444444444445
3120,1,8.0,8.0,6,92.0,15.333333333333334
3125,1,0.0,0.0,6,120.0,20.0
3130,2,10.0,5.0,6,150.0,25.0
3135,3,17.0,5.666666666666667,6,180.0,30.0
3140,0,0.0,0,6,210.0,35.0
3145,2,5.0,2.5,8,240.0,30.0
3150,1,10.0,10.0,6,197.0,32.833333333333336
3155,2,19.0,9.5,8,227.0,28.375
3160,1,2.0,2.0,11,266.0,24.181818181818183
3165,2,7.0,3.5,12,313.0,26.083333333333332
3170,0,0.0,0,13,371.0,28.53846153846154
3175,0,0.0,0,15,436.0,29.066666666666666
3180,2,9.0,4.5,15,510.0,34.0
3185,0,0.0,0,14,569.0,40.642857142857146
3190,0,0.0,0,17,629.0,37.0
3195,0,0.0,0,17,709.0,41.705882352941174
3200,0,0.0,0,20,794.0,39.7
3205,2,3.0,1.5,20,893.0,44.65
3210,2,10.0,5.0,20,993.0,49.65
3215,2,9.0,4.5,21,1067.0,50.80952380952381
3220,1,7.0,7.0,24,1172.0,48.833333333333336
3225,3,16.0,5.333333333333333,23,1280.0,55.65217391304348
3230,4,22.0,5.5,16,811.0,50.6875
3235,0,0.0,0,20,863.0,43.15
3240,0,0.0,0,15,933.0,62.2
3245,1,0.0,0.0,15,1003.0,66.86666666666666
3250,1,5.0,5.0,15,1075.0,71.66666666666667
3255,1,10.0,10.0,17,1151.0,67.70588235294117
3260,0,0.0,0,17,1228.0,72.23529411764706
3265,1,0.0,0.0,18,1313.0,72.94444444444444
3270,3,3.0,1.0,10,583.0,58.3
3275,4,16.0,4.0,16,633.0,39.5625
3280,1,4.0,4.0,6,375.0,62.5
3285,2,9.0,4.5,12,401.0,33.416666666666664
3290,0,0.0,0,8,430.0,53.75
3295,0,0.0,0,11,471.0,42.81818181818182
3300,3,10.0,3.3333333333333335,11,519.0,47.18181818181818
3305,2,7.0,3.5,5,22.0,4.4
3310,2,17.0,8.5,14,44.0,3.142857142857143
3315,1,17.0,17.0,7,75.0,10.714285714285714
3320,0,0.0,0,8,112.0,14.0
3325,1,0.0,0.0,9,153.0,17.0
3330,1,1.0,1.0,11,196.0,17.818181818181817
3335,2,10.0,5.0,15,246.0,16.4
3340,3,14.0,4.666666666666667,8,180.0,22.5
3345,0,0.0,0,12,216.0,18.0
3350,1,1.0,1.0,11,260.0,23.636363636363637
3355,1,2.0,2.0,11,188.0,17.09090909090909
3360,2,11.0,5.5,14,229.0,16.357142857142858
3365,3,7.0,2.3333333333333335,5,24.0,4.8
3370,0,0.0,0,11,38.0,3.4545454545454546
3375,1,3.0,3.0,6,54.0,9.0
3380,2,9.0,4.5,5,74.0,14.8
3385,5,26.0,5.2,5,96.0,19.2
3390,0,0.0,0,3,42.0,14.0
